card_id,ช่วงวัย,คำถาม,A,B,C,D
P01,ประถม,การบ้านยากและเริ่มรู้สึกท้อ คุณคิดว่าควรทำอย่างไร,หยุดพักก่อนเพื่อให้ใจเย็นลง,ลองพยายามทำต่อหรือหาวิธีใหม่,ขอความช่วยเหลือจากผู้ปกครองหรือครู,บอกตัวเองว่าความพยายามสำคัญกว่าความเก่ง
P02,ประถม,เพื่อนล้อเรื่องบางอย่าง คุณคิดว่าควรทำอย่างไร,พยายามควบคุมอารมณ์ตัวเองก่อน,บอกเพื่อนว่าคำพูดนั้นทำให้รู้สึกไม่ดี,เดินออกจากสถานการณ์นั้น,เตือนตัวเองว่าคำพูดคนอื่นไม่ได้กำหนดคุณค่าเรา
P03,ประถม,เด็กทำของใช้ในบ้านพังโดยไม่ได้ตั้งใจ คุณคิดว่าควรทำอย่างไร,บอกผู้ปกครองตามความจริง,พยายามแก้ไขก่อน,รอให้ใจเย็นก่อนแล้วค่อยคุย,ยอมรับความผิดและเรียนรู้จากมัน
P04,ประถม,เด็กอยากลองกิจกรรมใหม่แต่กลัวทำไม่ได้,ลองทำดูแม้จะรู้สึกกลัว,ขอคำแนะนำจากผู้ใหญ่,หายใจลึก ๆ เพื่อจัดการความกังวล,บอกตัวเองว่าทุกคนเริ่มจากการลอง
P05,ประถม,เด็กทะเลาะกับเพื่อน,เว้นระยะก่อนเพื่อให้สงบ,เว้นระยะก่อนเพื่อให้สงบ,พยายามหาทางแก้ปัญหา,บอกตัวเองว่าความสัมพันธ์สำคัญ
P06,ประถม,เด็กได้คะแนนสอบน้อย,คิดว่าครั้งหน้าจะพยายามใหม่,ขอคำแนะนำจากครู,ปล่อยให้อารมณ์สงบก่อน,เตือนตัวเองว่าความผิดพลาดช่วยให้เรียนรู้
P07,ประถม,เด็กอยากให้ผู้ปกครองฟังเรื่องของเขา,บอกผู้ปกครองว่ามีเรื่องอยากคุย,รอเวลาที่เหมาะสม,เขียนหรือเล่าให้ฟังภายหลัง,เชื่อว่าความคิดของตัวเองสำคัญ
P08,ประถม,เด็กอิจฉาเพื่อน,เตือนตัวเองว่าทุกคนต่างกัน,ใช้เป็นแรงบันดาลใจพัฒนาตัวเอง,คุยกับผู้ใหญ่เกี่ยวกับความรู้สึก,ทำกิจกรรมที่ทำให้รู้สึกดีขึ้น
P09,ประถม,เด็กกลัวการนำเสนอหน้าห้อง,ฝึกซ้อมก่อน,ขอคำแนะนำจากครูหรือเพื่อน,หายใจลึก ๆ เพื่อลดความกังวล,บอกตัวเองว่าสามารถทำได้
P10,ประถม,เด็กอยากเล่นเกมต่อแต่ถึงเวลานอน,บอกผู้ปกครองว่าขอเวลาเพิ่มเล็กน้อย,หยุดเล่นตามเวลาที่กำหนด,หาวิธีจัดเวลาครั้งหน้า,จัดการอารมณ์ตัวเองก่อน
P11,ประถม,เด็กถูกเลือกเป็นหัวหน้ากลุ่ม,มั่นใจและลองทำหน้าที่,คุยกับเพื่อนเพื่อแบ่งงาน,ถ้ามีปัญหาจะหาวิธีแก้,พยายามควบคุมความตื่นเต้น
P12,ประถม,เด็กทำงานกลุ่มแต่เพื่อนไม่ช่วย,คุยกับเพื่อนเกี่ยวกับงาน,พยายามแก้ปัญหา,ใจเย็นก่อนแล้วคิดวิธี,เชื่อว่าตัวเองจัดการได้
P13,ประถม,เด็กอยากลองทำสิ่งใหม่,เชื่อว่าตัวเองทำได้,ขอคำแนะนำจากผู้ใหญ่,ลองทำแม้จะยาก,ควบคุมความกังวลก่อน
P14,ประถม,เด็กทำผิดกฎของบ้าน,ยอมรับความผิด,อธิบายสิ่งที่เกิดขึ้น,พยายามแก้ไข,พยายามแก้ไข
P15,ประถม,เด็กต้องทำสิ่งที่ยาก,เชื่อว่าตัวเองเรียนรู้ได้,ขอคำแนะนำ,พยายามต่อ,ทำใจให้สงบก่อน
