code,ageGroup,text
P001,ประถม,คะแนนสอบออกมาแย่กว่าที่คาดไว้มาก คุณรู้สึกอย่างไรและจะจัดการกับสิ่งนี้อย่างไร?
P002,ประถม,เพื่อนสนิทโกรธและหยุดคุยกับคุณโดยไม่บอกเหตุผล คุณจะทำอย่างไร?
P003,ประถม,คุณทำโปรเจกต์กลุ่มเสร็จแล้ว แต่เพื่อนในกลุ่มไม่ช่วยเลย คุณรู้สึกอย่างไร?
P004,ประถม,ผู้ปกครองสัญญาจะพาไปเที่ยว แต่ต้องยกเลิกกะทันหัน คุณรู้สึกอย่างไร?
P005,ประถม,คุณกำลังนำเสนองานหน้าห้องและลืมสิ่งที่จะพูด คุณจะทำอย่างไร?
P006,ประถม,เพื่อนในห้องนินทาคุณและคุณได้ยินมาเอง คุณจะทำอย่างไร?
P007,ประถม,คุณอยากลองกิจกรรมใหม่ แต่กลัวว่าจะทำได้ไม่ดีเท่าคนอื่น คุณจะตัดสินใจอย่างไร?
P008,ประถม,คุณเห็นเพื่อนถูกแกล้งในโรงเรียน แต่กลัวว่าจะโดนแกล้งด้วยถ้าเข้าไปช่วย คุณจะทำอย่างไร?
P009,ประถม,คุณพยายามฝึกทักษะใหม่มาสามอาทิตย์แล้ว แต่ยังรู้สึกว่าไม่ก้าวหน้า คุณจะทำอย่างไร?
P010,ประถม,ผู้ปกครองคุณทะเลาะกันที่บ้านและคุณรู้สึกเครียดมาก คุณจะจัดการกับความรู้สึกนี้อย่างไร?
P011,ประถม,คุณถูกเลือกให้เป็นตัวแทนห้องในการแข่งขัน แต่รู้สึกไม่มั่นใจในตัวเอง คุณจะทำอย่างไร?
P012,ประถม,คุณอยากบอกเพื่อนว่าพฤติกรรมบางอย่างของเขาทำให้คุณเจ็บปวด แต่กลัวทะเลาะกัน คุณจะทำอย่างไร?
P013,ประถม,คุณทำผิดพลาดต่อหน้าเพื่อนหลายคน และรู้สึกอับอายมาก คุณจะรับมืออย่างไร?
P014,ประถม,คุณรู้สึกว่าตนเองไม่มีเพื่อนที่แท้จริงและรู้สึกโดดเดี่ยว คุณจะทำอย่างไร?
P015,ประถม,คุณกำลังช่วยเพื่อนแก้ปัญหา แต่เพื่อนไม่รับฟังคำแนะนำของคุณเลย คุณจะทำอย่างไร?
F001,มัธยมต้น,
S001,มัธยมปลาย,
U001,มหาวิทยาลัย,
